Class,Assertion roulette,Conditional test logic,Constructor initialization,Eager test,Empty test,Exception handling,Ignored tests,Unknown test,Total
apache_storm.org.apache.storm.sql.runtime.DataSourcesRegistry,5,0,0,5,0,0,0,0,10
jai-imageio_jai-imageio-jpeg2000.com.github.jaiimageio.jpeg2000.impl.I18N,0,0,0,0,0,0,0,0,0
jai-imageio_jai-imageio-jpeg2000.com.github.jaiimageio.jpeg2000.J2KImageWriteParam,2,0,0,1,0,0,0,0,3
renepickhardt_generalized-language-modeling-toolkit.de.typology.splitter.Aggregator,3,0,0,0,0,0,0,0,3
renepickhardt_generalized-language-modeling-toolkit.de.typology.splitter.Sequencer,2,0,0,0,0,0,0,0,2
renepickhardt_generalized-language-modeling-toolkit.de.typology.splitter.SequenceModifier,1,0,0,0,0,0,0,0,1
renepickhardt_generalized-language-modeling-toolkit.de.typology.indexes.WordIndexer,0,0,0,0,0,0,0,0,0
renepickhardt_generalized-language-modeling-toolkit.de.typology.indexes.WordIndex,1,0,0,0,0,0,0,0,1
renepickhardt_generalized-language-modeling-toolkit.de.typology.smoother.KneserNeySmoother,2,0,0,2,0,0,0,0,4
NLPchina_nlp-lang.org.nlpcn.commons.lang.jianfan.JianFan,0,0,0,0,0,0,0,1,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.WordWeight,0,0,0,0,0,0,0,4,4
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.IOUtil,0,0,0,0,0,0,0,0,0
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.StringUtil,1,0,0,0,0,0,0,1,2
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.WordAlert,0,0,0,0,0,0,0,1,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.FileFinder,1,0,0,0,0,0,0,0,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.logging.LogFactory,0,0,0,0,0,0,0,1,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.standardization.SentencesUtil,0,0,0,0,0,0,0,1,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.index.MemoryIndex,0,0,0,0,0,0,0,1,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.finger.FingerprintService,0,0,0,0,0,0,0,0,0
