Repo,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
awslabs_aws-dynamodb-encryption-java,169,11.12,299,19.67
Stratio_deep-spark,119,6.52,174,9.53
NoChanceSD_PvPManager,26,5.06,13,2.53
lqd-io_liquid-sdk-android,25,6.84,58,15.87
wix_petri,159,14.33,348,31.35
wgybzbrobot_sns-crm,29,11.79,9,3.66
DataDog_jmxfetch,25,3.83,74,11.33
geftimov_MapReduce,76,21.12,9,2.50
eclipse-jetty_eclipse-jetty-plugin,262,20.69,3,0.24
my2iu_Jinq,527,31.20,303,17.94
galenframework_galen,139,5.17,343,12.75
embulk_embulk-output-jdbc,8,2.06,71,18.26
mvarnagiris_financius-public,303,18.87,13,0.81
spring-projects_spring-session,49,1.53,1198,37.41
netplex_json-smart-v1,74,15.22,3,0.62
jonnyzzz_TeamCity.Virtual,20,10.47,26,13.61
gravel-st_gravel,885,18.08,1965,40.15
WhisperSystems_WebSocket-Resources,79,18.25,8,1.85
fiji_Stitching,246,25.39,9,0.93
joshlong_boot-examples,6,8.49,3,4.24
googlesamples_android-testing,14,7.03,75,37.67
yandex-qatools_hamcrest-pojo-matcher-generator,6,8.44,20,28.13
dgageot_simplelenium,19,8.02,88,37.15
yammer_breakerbox,17,4.98,67,19.64
zk1931_jzab,15,1.47,21,2.06
PayPal_PayPal-Java-SDK,267,15.54,33,1.92
dropwizard_dropwizard-protobuf,38,28.61,25,18.83
shazam_fork,53,6.85,58,7.50
HearthStats_HearthStats.net-Uploader,322,54.14,1,0.17
spring-projects_spring-xd-modules,1,0.54,33,17.92
vibe-project_vibe-java-server,3,2.58,1,0.86
chocotan_lolibox,5,2.46,2,0.99
codeine-cd_codeine,584,34.88,97,5.79
wildflyext_wildfly-camel,248,5.72,777,17.92
takari_takari-local-repository,8,2.05,67,17.18
spotify_crtauth-java,25,11.35,31,14.08
nusco_narjillos,67,7.55,316,35.59
intercom_intercom-java,97,11.67,68,8.18
murraycu_android-galaxyzoo,133,21.04,42,6.64
drapostolos_type-parser,9,2.45,250,68.06
SomMeri_matasano-cryptopals-solutions,84,11.27,80,10.73
kaazing_k3po,977,21.34,1664,36.34
red5_red5-hls-plugin,2,0.68,2,0.68
flipkart-incubator_foxtrot,134,7.92,279,16.49
phishman3579_java-algorithms-implementation,63,1.64,193,5.04
KronicDeth_intellij-elixir,205,5.00,1,0.02
devnied_EMV-NFC-Paycard-Enrollment,515,74.09,98,14.10
jbruchanov_AnUitor,31,10.26,14,4.63
Kixeye_chassis,113,11.00,111,10.81
spring-projects_spring-integration-aws,41,4.89,55,6.56
orientechnologies_orientdb-lucene,11,2.25,26,5.32
nginx-clojure_nginx-clojure,811,26.31,85,2.76
sitewhere_sitewhere,194,5.75,13,0.39
eclipse_leshan,331,7.91,498,11.90
jboss-gpe_processFlowProvision,138,15.84,17,1.95
Apereo-Learning-Analytics-Initiative_OpenDashboard,46,5.59,5,0.61
GumTreeDiff_gumtree,111,7.78,162,11.36
norecha_pokubot,25,12.05,6,2.89
sualeh_magnetictrackparser,14,15.56,27,30.00
poetix_protonpack,5,1.62,86,27.91
freemarker_fmpp,147,9.92,12,0.81
jackpf_ApkDownloader,1874,63.75,1,0.03
jparkie_GivesMeHopeAndroidClient,108,35.31,46,15.04
outbrain_ob1k,109,5.51,218,11.01
xhanin_jarup,2,1.85,29,26.78
kristian-lange_MechArg,305,15.65,417,21.40
Cascading_cascading-hive,15,3.13,98,20.47
Cloudslab_CloudSimEx,62,4.30,89,6.18
ReactiveX_RxSwing,2,0.82,41,16.84
appium_java-client,84,4.60,280,15.34
jvirtanen_parity,89,10.60,49,5.84
pusher_pusher-http-java,54,11.33,69,14.48
JorgeCastilloPrz_Corleone,3,1.31,16,6.97
spring-projects_spring-integration-kafka,14,2.36,57,9.59
welovecoding_editorconfig-netbeans,123,24.86,55,11.12
cegeka_batchers,94,20.08,148,31.62
ysc_word,80,7.36,42,3.87
larsga_Duke,111,6.54,592,34.90
pedrovgs_Algorithms,2,0.29,354,50.99
indexiatech_antiquity,86,17.99,39,8.16
marcosvidolin_doco,6,7.10,6,7.10
nenick_AndroidAppDevelopment,6,1.60,71,18.92
SimonVT_cathode,330,17.12,5,0.26
HiddenStage_divide,206,18.06,38,3.33
caskdata_coopr,511,11.80,616,14.22
douglascraigschmidt_POSA-14,97,9.08,52,4.87
emory-courses_cs323,1,0.28,26,7.30
Ullink_simple-slack-api,16,3.47,40,8.67
fiji_TrackMate,1451,34.65,59,1.41
pardom_ollie,35,11.94,17,5.80
digitalfondue_lavagna,91,5.04,439,24.31
ddavison_conductor,9,17.86,14,27.78
valchkou_cassandra-driver-mapping,6,1.22,91,18.56
