Repo,TotalTestabilitySmells,TotalTestSmells,LOC,NoOfTests,TyS_normalized, TS_normalized
wildfly-security_wildfly-elytron.org.wildfly.security.password.util.ModularCrypt,1,12,0,9,0,1.3333333333333333
wildfly-security_wildfly-elytron.org.wildfly.security.credential.store.CredentialStore,1,25,335,11,2.985074626865672,2.272727272727273
wildfly-security_wildfly-elytron.org.wildfly.security.credential.store.impl.MapCredentialStore,1,3,87,3,11.494252873563218,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.credential.store.impl.KeyStoreCredentialStore,12,5,0,3,0,1.6666666666666667
wildfly-security_wildfly-elytron.org.wildfly.security.mechanism.gssapi.GSSCredentialSecurityFactory,2,2,408,1,4.901960784313726,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.sasl.gssapi.AbstractGssapiMechanism,3,3,0,3,0,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.sasl.gs2.Gs2,6,2,95,2,63.1578947368421,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.sasl.util.LegacyRealmListSaslServerFactory,4,8,106,4,37.735849056603776,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.sasl.digest._private.DigestUtil,9,5,0,6,0,0.8333333333333334
wildfly-security_wildfly-elytron.org.wildfly.security.password.impl.ScramDigestPasswordImpl,1,2,0,1,0,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.pem.Pem,2,5,0,9,0,0.5555555555555556
wildfly-security_wildfly-elytron.org.wildfly.security.x500.cert.X509CertificateBuilder,1,12,382,6,2.6178010471204187,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.x500.cert.SelfSignedX509CertificateAndSigningKey,3,12,249,9,12.048192771084338,1.3333333333333333
wildfly-security_wildfly-elytron.org.wildfly.security.x500.cert.acme.AcmeClientSpi,6,22,0,10,0,2.2
wildfly-security_wildfly-elytron.org.wildfly.security.x500.X500,72,4,198,4,363.6363636363636,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.x500.X500PrincipalBuilder,1,4,51,2,19.607843137254903,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.x500.util.X500PrincipalUtil,1,2,0,2,0,1.0
tesseradata_RHIPE.org.godhuli.rhipe.RHMR,1,1,307,1,3.257328990228013,1.0
tesseradata_RHIPE.org.godhuli.rhipe.PersonalServer,5,1,258,7,19.37984496124031,0.14285714285714285
JCTools_JCTools.org.jctools.channels.spsc.SpscChannel,2,4,62,2,32.25806451612903,2.0
JCTools_JCTools.org.jctools.maps.NonBlockingHashSet,1,4,58,3,17.24137931034483,1.3333333333333333
JCTools_JCTools.org.jctools.maps.NonBlockingHashMapLong,1,17,811,8,1.2330456226880395,2.125
JCTools_JCTools.org.jctools.maps.NonBlockingHashMap,2,25,819,12,2.442002442002442,2.0833333333333335
JCTools_JCTools.org.jctools.maps.NonBlockingIdentityHashMap,1,21,732,9,1.366120218579235,2.3333333333333335
JCTools_JCTools.org.jctools.util.Pow2,1,2,40,2,25.0,1.0
JCTools_JCTools.org.jctools.channels.mapping.Mapper,3,1,76,1,39.473684210526315,1.0
sharneng_gm4java.org.gm4java.engine.support.PooledGMConnection,1,4,48,4,20.833333333333332,1.0
sharneng_gm4java.org.gm4java.engine.support.GMProcessFactoryImpl,1,11,68,9,14.705882352941176,1.2222222222222223
sharneng_gm4java.org.gm4java.engine.support.PooledGMService,1,8,71,12,14.084507042253522,0.6666666666666666
sharneng_gm4java.org.gm4java.engine.support.SimpleGMService,1,4,72,7,13.88888888888889,0.5714285714285714
bedrin_jdbc-sniffer.io.sniffy.LegacySpy,1,36,0,19,0,1.894736842105263
bedrin_jdbc-sniffer.io.sniffy.Sniffer,19,48,328,33,57.926829268292686,1.4545454545454546
bedrin_jdbc-sniffer.io.sniffy.Sniffy,8,123,479,74,16.701461377870565,1.662162162162162
bedrin_jdbc-sniffer.io.sniffy.Spy,5,2,317,2,15.772870662460567,1.0
bedrin_jdbc-sniffer.io.sniffy.BaseSpy,3,0,74,1,40.54054054054054,0.0
bedrin_jdbc-sniffer.io.sniffy.socket.SnifferOutputStream,1,4,118,4,8.474576271186441,1.0
bedrin_jdbc-sniffer.io.sniffy.socket.CompatSnifferSocketImpl,1,22,361,31,2.770083102493075,0.7096774193548387
bedrin_jdbc-sniffer.io.sniffy.util.StringUtil,1,1,0,1,0,1.0
bedrin_jdbc-sniffer.io.sniffy.test.SharedConnectionDataSource,3,5,78,10,38.46153846153846,0.5
bedrin_jdbc-sniffer.io.sniffy.sql.SqlUtil,1,1,32,4,31.25,0.25
bedrin_jdbc-sniffer.io.sniffy.servlet.SniffyRequestProcessor,6,0,294,4,20.408163265306122,0.0
bedrin_jdbc-sniffer.io.sniffy.servlet.SniffyFilter,15,83,296,64,50.67567567567568,1.296875
bedrin_jdbc-sniffer.io.sniffy.servlet.SniffyServlet,13,27,253,21,51.383399209486164,1.2857142857142858
petitparser_java-petitparser.org.petitparser.context.Token,2,3,126,1,15.873015873015873,3.0
petitparser_java-petitparser.org.petitparser.utils.Tracer,1,4,64,2,15.625,2.0
petitparser_java-petitparser.org.petitparser.utils.Optimizer,1,2,49,5,20.408163265306122,0.4
petitparser_java-petitparser.org.petitparser.utils.Profiler,1,6,99,3,10.1010101010101,2.0
petitparser_java-petitparser.org.petitparser.parser.primitive.CharacterPredicate,2,38,104,19,19.23076923076923,2.0
petitparser_java-petitparser.org.petitparser.parser.Parser,6,81,334,55,17.964071856287426,1.4727272727272727
skroutz_elasticsearch-analysis-turkishstemmer.org.elasticsearch.index.analysis.TurkishStemmer,12,15,524,16,22.900763358778626,0.9375
englishtown_vertx-jersey.com.englishtown.vertx.jersey.features.jackson.JacksonFeature,1,0,27,2,37.03703703703704,0.0
englishtown_vertx-jersey.com.englishtown.vertx.jersey.features.swagger.SwaggerFeature,2,0,30,2,66.66666666666667,0.0
englishtown_vertx-jersey.com.englishtown.vertx.jersey.features.swagger.internal.SwaggerServletConfig,1,4,44,4,22.727272727272727,1.0
englishtown_vertx-jersey.com.englishtown.vertx.jersey.impl.DefaultJerseyHandler,4,6,201,7,19.90049751243781,0.8571428571428571
englishtown_vertx-jersey.com.englishtown.vertx.jersey.impl.DefaultJerseyServer,1,0,99,3,10.1010101010101,0.0
englishtown_vertx-jersey.com.englishtown.vertx.jersey.impl.DefaultVertxContainer,2,4,129,4,15.503875968992247,1.0
englishtown_vertx-jersey.com.englishtown.vertx.jersey.impl.DefaultJerseyOptions,18,6,222,9,81.08108108108108,0.6666666666666666
englishtown_vertx-jersey.com.englishtown.vertx.guice.GuiceJerseyBinder,1,3,40,2,25.0,1.5
jooby-project_jooby.io.jooby.internal.pac4j.UrlResolverImpl,1,2,15,2,66.66666666666667,1.0
jooby-project_jooby.io.jooby.internal.whoops.Whoops,2,1,101,1,19.801980198019802,1.0
jooby-project_jooby.io.jooby.hikari.HikariModule,1,15,324,15,3.0864197530864197,1.0
jooby-project_jooby.io.jooby.internal.Chi,1,16,0,8,0,2.0
jooby-project_jooby.io.jooby.internal.HashValue,1,4,220,3,4.545454545454546,1.3333333333333333
