Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
yammer_breakerbox,com.yammer.breakerbox.service.resources,ConfigureResource,configure,Long Statement,The length of the statement "if (breakerboxStore.store(new ServiceModel(serviceId`dependencyId)) && breakerboxStore.store(new DependencyModel(dependencyId`DateTime.now()`tenacityConfiguration`user.getName()`serviceId))) {" is 192.,44
yammer_breakerbox,com.yammer.breakerbox.service.resources,ConfigureResource,configure,Long Statement,The length of the statement "return Response.created(URI.create(String.format("/configuration/%s/%s"`serviceName`dependencyName))).entity(tenacityConfiguration).build();" is 140.,44
yammer_breakerbox,com.yammer.breakerbox.service.resources,InSyncResource,allInSync,Long Statement,The length of the statement "return syncComparator.allInSync(serviceId`tenacityPropertyKeysStore.tenacityPropertyKeysFor(Instances.instances(serviceId)));" is 125.,37
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Long Statement,The length of the statement "bootstrap.setConfigurationSourceProvider(new SubstitutingSourceProvider(bootstrap.getConfigurationSourceProvider()`new EnvironmentVariableSubstitutor(false)));" is 159.,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Long Statement,The length of the statement "tenacityConfiguredBundle=((DelayedTenacityBundleBuilder)DelayedTenacityBundleBuilder.newBuilder().configurationFactory(new TenacityBundleConfigurationFactory<BreakerboxServiceConfiguration>(){" is 192.,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Long Statement,The length of the statement "@Override public Map<TenacityPropertyKey`TenacityConfiguration> getTenacityConfigurations( BreakerboxServiceConfiguration applicationConfiguration){" is 148.,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Long Statement,The length of the statement "return ImmutableMap.of(BreakerboxDependencyKey.BRKRBX_SERVICES_PROPERTYKEYS`applicationConfiguration.getBreakerboxServicesPropertyKeys()`BreakerboxDependencyKey.BRKRBX_SERVICES_CONFIGURATION`applicationConfiguration.getBreakerboxServicesConfiguration()`BreakerboxDependencyKey.BRKRBX_LDAP_AUTH`new TenacityConfiguration());" is 323.,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Long Statement,The length of the statement "@Override public TenacityPropertyKeyFactory getTenacityPropertyKeyFactory( BreakerboxServiceConfiguration applicationConfiguration){" is 132.,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Long Statement,The length of the statement "@Override public BreakerboxConfiguration getBreakerboxConfiguration( BreakerboxServiceConfiguration applicationConfiguration){" is 126.,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Long Statement,The length of the statement ").mapAllHystrixRuntimeExceptionsTo(429).commandExecutionHook(new ExceptionLoggingCommandHook(ImmutableList.of(new DBIExceptionLogger(bootstrap.getMetricRegistry())`new SQLExceptionLogger(bootstrap.getMetricRegistry())`new DefaultExceptionLogger())))).build();" is 259.,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,initialize,Magic Number,The method contains a magic number: 429,76
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,getTenacityConfigurations,Long Statement,The length of the statement "return ImmutableMap.of(BreakerboxDependencyKey.BRKRBX_SERVICES_PROPERTYKEYS`applicationConfiguration.getBreakerboxServicesPropertyKeys()`BreakerboxDependencyKey.BRKRBX_SERVICES_CONFIGURATION`applicationConfiguration.getBreakerboxServicesConfiguration()`BreakerboxDependencyKey.BRKRBX_LDAP_AUTH`new TenacityConfiguration());" is 323.,91
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Long Statement,The length of the statement "final TenacityPropertyKeysStore tenacityPropertyKeysStore=new TenacityPropertyKeysStore(new TenacityPoller.Factory(new DelegatingTenacityClient(new TenacityClientBuilder(environment`BreakerboxDependencyKey.BRKRBX_SERVICES_PROPERTYKEYS).using(configuration.getTenacityClient()).build())));" is 288.,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Long Statement,The length of the statement "final SyncComparator syncComparator=new SyncComparator(new TenacityConfigurationFetcher.Factory(new DelegatingTenacityClient(new TenacityClientBuilder(environment`BreakerboxDependencyKey.BRKRBX_SERVICES_CONFIGURATION).using(configuration.getTenacityClient()).build()))`breakerboxStore);" is 286.,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Long Statement,The length of the statement "final Set<String> metaClusters=configuration.getMetaClusters().stream().map(String::toUpperCase).collect(Collectors.toSet());" is 125.,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Long Statement,The length of the statement "environment.jersey().register(new DashboardResource(configuration.getDefaultDashboard()`configuration.getBreakerboxHostAndPort()`metaClusters));" is 144.,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Long Statement,The length of the statement "final ScheduledExecutorService scheduledExecutorService=environment.lifecycle().scheduledExecutorService("scheduled-tenacity-poller-%d").threads(1).build();" is 156.,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Long Statement,The length of the statement "scheduledExecutorService.scheduleAtFixedRate(new ScheduledTenacityPoller(tenacityPropertyKeysStore)`30`60`TimeUnit.SECONDS);" is 124.,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Long Statement,The length of the statement "tenacityConfiguredBundle.delayedRegisterTenacityProperties(tenacityConfiguredBundle.getTenacityBundleConfigurationFactory().getTenacityConfigurations(configuration)`configuration);" is 180.,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Magic Number,The method contains a magic number: 30,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Magic Number,The method contains a magic number: 60,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,run,Magic Number,The method contains a magic number: 3,120
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,setupNullAuth,Long Statement,The length of the statement "environment.jersey().register(new AuthDynamicFeature(new NullAuthFilter.Builder<User>().setAuthenticator(new NullAuthenticator()).setRealm("null").buildAuthFilter()));" is 167.,202
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,setupLdapAuth,Long Statement,The length of the statement "final CachingAuthenticator<BasicCredentials`User> cachingAuthenticator=new CachingAuthenticator<>(environment.metrics()`TenacityAuthenticator.wrap(new ResourceAuthenticator(ldapAuthenticator)`BreakerboxDependencyKey.BRKRBX_LDAP_AUTH)`ldapConfiguration.getCachePolicy());" is 270.,211
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,setupLdapAuth,Long Statement,The length of the statement "environment.jersey().register(new AuthDynamicFeature(new BasicCredentialAuthFilter.Builder<User>().setAuthenticator(cachingAuthenticator).setRealm("breakerbox").buildAuthFilter()));" is 181.,211
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,setupInstanceDiscovery,Long Statement,The length of the statement "PluginsFactory.setInstanceDiscovery(RegisterClustersInstanceDiscoveryWrapper.wrap(customInstanceDiscovery.get()`configuration.getHystrixStreamSuffix().get()));" is 159.,228
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,setupInstanceDiscovery,Long Statement,The length of the statement "final YamlInstanceDiscovery yamlInstanceDiscovery=new YamlInstanceDiscovery(configuration.getTurbine()`environment.getValidator()`environment.getObjectMapper());" is 161.,228
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,createInstanceDiscovery,Long Statement,The length of the statement "final Class<InstanceDiscovery> instanceDiscoveryClass=(Class<InstanceDiscovery>)Class.forName(configuration.getInstanceDiscoveryClass().get());" is 143.,246
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,createClassInstance,Long Statement,The length of the statement "if (instanceDiscoveryClass.equals(RancherInstanceDiscovery.class) && configuration.getRancherInstanceConfiguration().isPresent()) {" is 131.,260
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,createClassInstance,Long Statement,The length of the statement "return new RancherInstanceDiscovery(configuration.getRancherInstanceConfiguration().get()`environment.getObjectMapper());" is 121.,260
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,createClassInstance,Long Statement,The length of the statement "else if (instanceDiscoveryClass.equals(MarathonInstanceDiscovery.class) && configuration.getMarathonClientConfiguration().isPresent()) {" is 136.,260
yammer_breakerbox,com.yammer.breakerbox.service,BreakerboxService,createClassInstance,Long Statement,The length of the statement "return new MarathonInstanceDiscovery(environment.getObjectMapper()`configuration.getMarathonClientConfiguration().get());" is 121.,260
yammer_breakerbox,com.yammer.breakerbox.service.store,TenacityPropertyKeysStore,getTenacityPropertyKeys,Empty catch clause,The method has an empty catch block.,34
